Hearing ID,Date,Title,PDF link,Raw Text link
tq_47,"u'April 6, 2010'",S. Hrg. 111-1132 - PARTNERING TO PREPARE: EXPANDING ACCESS TO HIGH QUALITY EARLY CHILDHOOD EDUCATION,http://www.gpo.gov:80/fdsys/pkg/CHRG-111shrg75566/pdf/CHRG-111shrg75566.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-111shrg75566/html/CHRG-111shrg75566.htm
tq_48,"u'February 7, 2008'","House Hearing, 110th Congress
									 - MILITARY CONSTRUCTION, VETERANS AFFAIRS, AND RELATED AGENCIES APPROPRIATIONS FOR 2009",http://www.gpo.gov:80/fdsys/pkg/CHRG-110hhrg42754/pdf/CHRG-110hhrg42754.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-110hhrg42754/html/CHRG-110hhrg42754.htm
tq_49,"u'September 22, 2010'","House Hearing, 111th Congress
									 - [H.A.S.C. No. 111-178] A QUESTION OF QUALITY AND VALUE: DEPARTMENT OF DEFENSE OVERSIGHT OF TUITION ASSISTANCE USED FOR DISTANCE LEARNING AND FOR-PROFIT COLLEGES",http://www.gpo.gov:80/fdsys/pkg/CHRG-111hhrg62592/pdf/CHRG-111hhrg62592.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-111hhrg62592/html/CHRG-111hhrg62592.htm
tq_50,"u'March 17, 1999'",S. Hrg. 106-148 - OPEN SPACE AND ENVIRONMENTAL QUALITY,http://www.gpo.gov:80/fdsys/pkg/CHRG-106shrg59380/pdf/CHRG-106shrg59380.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-106shrg59380/html/CHRG-106shrg59380.htm
tq_51,"u'March 7, 2002'","House Hearing, 107th Congress
									 - HEALTH QUALITY AND MEDICAL ERRORS",http://www.gpo.gov:80/fdsys/pkg/CHRG-107hhrg81751/pdf/CHRG-107hhrg81751.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-107hhrg81751/html/CHRG-107hhrg81751.htm
tq_52,"u'April 28, 2005'",S. Hrg. 109-126 - PROVIDING QUALITY POSTSECONDARY EDUCATION: ACCESS AND ACCOUNTABILITY,http://www.gpo.gov:80/fdsys/pkg/CHRG-109shrg21017/pdf/CHRG-109shrg21017.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-109shrg21017/html/CHRG-109shrg21017.htm
tq_53,"u'March 18, 2004'","House Hearing, 108th Congress
									 - NEW FRONTIERS IN QUALITY INITIATIVES",http://www.gpo.gov:80/fdsys/pkg/CHRG-108hhrg99678/pdf/CHRG-108hhrg99678.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-108hhrg99678/html/CHRG-108hhrg99678.htm
tq_54,"u'July 23, 2009'","House Hearing, 111th Congress
									 - EXAMINING QUALITY OF LIFE AND ANCILLARY BENEFITS ISSUES",http://www.gpo.gov:80/fdsys/pkg/CHRG-111hhrg51876/pdf/CHRG-111hhrg51876.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-111hhrg51876/html/CHRG-111hhrg51876.htm
tq_55,"u'October 3, 1997'","House Hearing, 105th Congress
									 - OVERSIGHT HEARING ON SALTON SEA STABILIZATION AND WATER QUALITY IMPROVEMENT",http://www.gpo.gov:80/fdsys/pkg/CHRG-105hhrg45367/pdf/CHRG-105hhrg45367.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-105hhrg45367/html/CHRG-105hhrg45367.htm
tq_56,9999,"House Hearing, 109th Congress
									 - NUCLEAR WASTE STORAGE AND DISPOSAL POLICY, AND HYDROELECTRIC LICENSE EXTENSION AND ENERGY EFFICIENCY LEGISLATION HEARING BEFORE THE SUBCOMMITTEE ON ENERGY AND AIR QUALITY OF THE COMMITTEE ON ENERGY AND COMMERCE HOUSE OF REPRESENTATIVES ONE HUNDRED NINTH CONGRESS SECOND SESSION SEPTEMBER 13, 2006 Serial No. 109-138 Printed for the use of the Committee on Energy and Commerce Available via the World Wide Web: http://www.access.gpo.gov/congress/house U.S. GOVERNMENT PRINTING OFFICE 31-506 WASHINGTON : 2007",http://www.gpo.gov:80/fdsys/pkg/CHRG-109hhrg31463/pdf/CHRG-109hhrg31463.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-109hhrg31463/html/CHRG-109hhrg31463.htm
tq_57,"u'May 3, 2006'","House Hearing, 109th Congress
									 - A BILL TO AUTHORIZE THE NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION (NHTSA) TO SET PASSENGER CAR FUEL ECONOMY STANDARDS",http://www.gpo.gov:80/fdsys/pkg/CHRG-109hhrg29389/pdf/CHRG-109hhrg29389.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-109hhrg29389/html/CHRG-109hhrg29389.htm
tq_58,"u'April 18, 2007'","House Hearing, 110th Congress
									 - SUPPLEMENTAL EDUCATIONAL SERVICES UNDER THE NO CHILD LEFT BEHIND ACT: HOW TO IMPROVE QUALITY AND ACCESS",http://www.gpo.gov:80/fdsys/pkg/CHRG-110hhrg34539/pdf/CHRG-110hhrg34539.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-110hhrg34539/html/CHRG-110hhrg34539.htm
tq_59,"u'September 14, 2000'",S. Hrg. 106-801 - THE STATE OF FOREIGN LANGUAGE CAPABILITIES IN NATIONAL SECURITY AND THE FEDERAL GOVERNMENT,http://www.gpo.gov:80/fdsys/pkg/CHRG-106shrg68304/pdf/CHRG-106shrg68304.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-106shrg68304/html/CHRG-106shrg68304.htm
tq_60,"u'February 27, 2013'","House Hearing, 113th Congress
									 - PROTECTING STUDENTS AND TEACHERS: A DISCUSSION ON SCHOOL SAFETY",http://www.gpo.gov:80/fdsys/pkg/CHRG-113hhrg78990/pdf/CHRG-113hhrg78990.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-113hhrg78990/html/CHRG-113hhrg78990.htm
tq_61,"u'March 1, 2006'","S. Hrg. 109-286, Part 6 - DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2007",http://www.gpo.gov:80/fdsys/pkg/CHRG-109shrg27036/pdf/CHRG-109shrg27036.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-109shrg27036/html/CHRG-109shrg27036.htm
tq_62,"u'March 2, 2005'","S. Hrg. 109-284 - DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2006",http://www.gpo.gov:80/fdsys/pkg/CHRG-109shrg99869/pdf/CHRG-109shrg99869.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-109shrg99869/html/CHRG-109shrg99869.htm
tq_63,"u'March 7, 2002'","S. Hrg. 107 - DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2003",http://www.gpo.gov:80/fdsys/pkg/CHRG-107shrg78480/pdf/CHRG-107shrg78480.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-107shrg78480/html/CHRG-107shrg78480.htm
tq_64,"u'February 23, 1999'","S. Hrg. 106-332, Part 1 - DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2000",http://www.gpo.gov:80/fdsys/pkg/CHRG-106shrg54221/pdf/CHRG-106shrg54221.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-106shrg54221/html/CHRG-106shrg54221.htm
tq_65,"u'March 10, 2010'","S. Hrg. 111-604 - DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2011",http://www.gpo.gov:80/fdsys/pkg/CHRG-111shrg54977/pdf/CHRG-111shrg54977.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-111shrg54977/html/CHRG-111shrg54977.htm
tq_66,"u'February 29, 2000'","S. Hrg. 106-817 - DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2001",http://www.gpo.gov:80/fdsys/pkg/CHRG-106shrg62799/pdf/CHRG-106shrg62799.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-106shrg62799/html/CHRG-106shrg62799.htm
tq_67,"u'May 13, 2009'","S. Hrg. 111-850 - DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2010",http://www.gpo.gov:80/fdsys/pkg/CHRG-111shrg48305/pdf/CHRG-111shrg48305.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-111shrg48305/html/CHRG-111shrg48305.htm
tq_68,"u'April 10, 2002'","House Hearing, 107th Congress
									 - DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR 2003",,http://www.gpo.gov:80/fdsys/pkg/CHRG-107hhrg80982/html/CHRG-107hhrg80982.htm
tq_69,"u'March 9, 2011'","S. Hrg. 112-337 - DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2012",http://www.gpo.gov:80/fdsys/pkg/CHRG-112shrg64609/pdf/CHRG-112shrg64609.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-112shrg64609/html/CHRG-112shrg64609.htm
tq_70,"u'March 21, 2001'","House Hearing, 107th Congress
									 - DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR 2002",,http://www.gpo.gov:80/fdsys/pkg/CHRG-107hhrg77408/html/CHRG-107hhrg77408.htm
